Lat,Longt,Cluster,RelativeHumidity
39.6747,-105.4183,0,24.0
38.74028,-108.09083000000001,0,23.25
28.4968,-81.5038,0,76.0
32.2185,-110.7677,0,16.75
33.28232,-110.8212,0,22.0
36.0862,-79.2793,0,64.0
38.1838,-120.54,0,23.0
34.3493,-111.143,0,29.0
33.2705,-96.9925,0,100.0
39.3438,-77.2475,0,78.0
37.0023,-121.9363,0,87.5
42.1162,-80.007,0,37.0
34.204,-118.138,0,18.25
34.1428,-117.9458,0,20.25
47.8975,-122.5297,0,89.75
46.3168,-106.7042,0,13.25
27.9042,-82.3238,0,74.25
30.388,-98.0813,0,35.5
34.7433,-86.5322,0,67.75
33.0093,-97.6977,0,49.75
47.143,-122.4208,0,65.5
39.5005,-84.3635,0,35.5
42.6808,-71.5665,0,85.5
43.4888,-89.7242,0,47.75
44.4466,-93.1676,0,55.5
34.4078,-87.39370000000001,0,100.0
34.7562,-86.678,0,54.5
40.82833,-98.607,0,62.5
46.9923,-120.514,0,37.25
35.1753,-106.4808,0,26.25
39.625,-104.9795,0,20.25
27.9872,-82.5795,0,83.0
34.8522,-86.9038,0,68.25
35.185,-106.5975,0,27.25
29.3918,-98.2093,0,35.0
32.3762,-97.3012,0,38.0
45.2997,-94.9663,0,52.0
42.9788,-78.873,0,13.0
30.784499999999998,-84.8697,0,81.0
47.6147,-117.1835,0,1.0
44.2688,-121.5905,0,39.0
35.3842,-97.4295,0,43.6
42.610079999999996,-71.46698,0,71.25
36.14917,-79.1875,0,61.0
43.9642,-86.4545,0,68.66666666666667
33.1645,-97.89466999999999,0,54.0
37.7767,-81.173,0,47.5
33.7212,-111.9918,0,11.0
38.7403,-93.6622,0,45.25
46.4727,-116.2473,0,18.5
36.0955,-75.7328,0,94.0
41.6162,-72.9222,0,94.25
28.028,-80.667,0,88.5
44.075,-80.0005,0,38.0
44.1888,-81.6367,0,64.75
44.0795,-81.7042,0,50.0
49.01919999999999,-123.0867,0,71.33333333333333
49.8822,-119.7102,0,57.75
41.2862,-96.15,0,82.8
32.8745,-105.7743,0,42.0
30.3055,-98.3967,0,42.25
39.91765,-83.15263,0,34.5
35.2208,-97.4142,0,61.333333333333336
38.4608,-77.4628,0,81.75
34.17,-118.333,0,40.0
35.5528,-77.6017,0,64.0
37.0022,-121.9363,0,96.66666666666667
37.2183,-121.8517,0,16.25
48.0853,-117.4318,0,21.0
34.0296,-119.7861,0,37.0
37.4347,-122.2063,0,47.5
38.3803,-122.8242,0,58.25
43.6983,-71.4855,0,100.0
43.0617,-71.062,0,95.75
